Ora, Data, Slide, Professoressa
08, 2205, B132, Virginia
11, 2205, B135, Graziana
10, 2305, C123, Francesca
11, 2305, B143, Sara
10, 2405, B141, Alice
13, 2405, C103, Anna
12, 2505, B142, Maria
07, 2605, B120, Clara
08, 2605, C128, Martina
11, 2705, C130, Jlenia
10, 2905, B101, Sara
11, 2905, B124, Luca
07, 3005, B124, Clara
10, 3005, B226, Mirela
07, 3105, B125, Clara
10, 3105, C126, Francesca
09, 0106, B210, Ilaria
10, 0106, B131, Sara
11, 0106, C123, Irene
07, 0206, B106, Graziana
08, 0206, B131, Asia
11, 0206, B219, Graziana
07, 0506, C135, Clara
10, 0506, C129, Sabina
07, 0606, B132, Asia
10, 0606, B126, Francesca
10, 0706, B139, Sabina
11, 0706, B134, Sofia
08, 0806, B132, Francesca 2
09, 1106, B243, Miriam
07, 1206, B127, Elisa
10, 1206, B227, Sabina
11, 1206, B118, Graziana
10, 1306, C123, Graziana
07, 1406, B135, Clara
11, 1406, B141, Sabina
08, 1506, B241, Daniela
08, 1606, B128, Elisa
07, 1906, B238, Chiara
09, 1906, C122, Ilaria
10, 1906, C130, Sabina
09, 2006, C126, Elisa
10, 2006, B232, Graziana
11, 2006, B1, Ilaria
08, 2706, C119, Rita
09, 2706, B235, Silvia
07, 3006, B124, Elena
13, 3006, C119, Chiara
07, 0307, B233, Lorella
08, 0307, B137, Er
10, 0307, B116, Lorella
13, 0307, B241, Lea
09, 0507, B141, Francesca 2
11, 0507, C128, Ilaria
07, 0607, B105, Frederica
09, 1007, B118, Daniella
08, 1107, B221, Federica
09, 1107, B139, Elena
07, 1207, C138, Federica
07, 1407, B103, Laura
07, 1707, B131, Anna
07, 1807, B201, Clara
08, 1907, C117, Lorella
09, 1907, B141, Sofia
07, 2007, B227, Anna
07, 2407, B124, Lorella
07, 2507, B112, Federica
08, 2607, B115, Federica
07, 2707, B230, Federica
07, 2807, B118, Federica
11, 3107, B241, Graziana
12, 3107, B105, Giu
10, 0108, B204, Mirela
11, 0108, B111, Chiara
07, 0308, B202, Lorella
10, 0308, B125, Grazia
07, 0408, C129, Federica
09, 0408, C135, Elena
07, 0708, B118, Lorella
10, 0708, B115, Anna
11, 0708, B209, Giusy
07, 0808, B210, Federica
10, 0808, C118, Anna
11, 0808, B210, Francesca
07, 0908, C119, Anna
11, 0908, C103, Lorella
10, 1008, B226, Sabina
07, 1108, B213, Federica
09, 1108, B227, Sabina
07, 1408, B124, Lorella
07, 1608, C134, Federica
10, 1708, B213, Anna
11, 1708, B231, Sabina
07, 1808, B110, Federica
07, 2108, B218, Federica
08, 2208, C136, Federica
07, 2308, C132, Alice
10, 2408, C111, Francesca
11, 2408, B136, Sabina
07, 2508, C107, Lorella
07, 2908, B220, Federica
08, 2908, B215, Silvia
10, 2908, C123, Sara
09, 3008, B112, Federica
07, 3108, B222, Federica
10, 0109, C130, Giulia
07, 0409, C119, Lorella
11, 0409, C138, Chiara
11, 0509, C107, Francesca 2
07, 0809, B240, Miriam
07, 1209, B116, Asia
10, 1209, C118, Francesca 2
07, 1309, C117, Isabella
10, 1309, B212, Mariacristina
11, 1309, C128, Chiara
10, 1409, B144, Mariacristina
11, 1409, C134, Francesca 2
07, 1509, B122, Clara
08, 1809, B202, Cecilia
11, 1809, B230, Graziana
10, 1909, B141, Mariacristina
11, 1909, B222, Graziana
07, 2009, B121, Clara
10, 2109, B230, Mariacristina
09, 2209, B223, Sofia
07, 2509, C137, Rita
07, 2609, B221, Rita
11, 2809, C123, Francesca 2
11, 2909, C103, Chiara
07, 0210, B235, Rita
08, 0210, B226, Anna
07, 0310, B244, Miriam
09, 0310, B214, Francesca 2
07, 0410, C101, Lorella
11, 0410, C118, Francesca
11, 0510, B242, Daniela
07, 0610, C103, Lorella
09, 0610, C123, Daniela
07, 0910, B116, Asia
11, 0910, C113, Antonella
07, 1010, C136, Rita
09, 1010, C101, Francesca 2
07, 1110, B103, Lea
07, 1210, B228, Federica
11, 1310, C137, Anna
07, 1610, C119, Chiara
08, 1610, C107, Anna
08, 1710, C134, Asia
08, 1810, C129, Anna
12, 1810, B219, Federica
07, 2310, C129, Federica
07, 2410, B205, Federica
07, 2510, B244, Lorella
07, 2610, C111, Miriam
10, 2710, B212, Francesca 2
07, 3010, B228, Marina
11, 3010, B221, Rita
09, 3110, C137, Miriam
10, 3110, B220, Virginia
07, 0211, B114, Miriam
07, 0611, B218, Rita
08, 0611, C135, Federica
10, 0711, C112, Francesca 2
07, 0811, B240, Rita
10, 0911, C130, Francesca 2
10, 1011, B238, Francesca 2
11, 1311, C137, Daniela
08, 1511, B204, Federica
09, 1711, C132, Sofia
08, 2111, C117, Federica
08, 2211, B212, Miriam
07, 2311, B143, Miriam
10, 2311, B214, Francesca 2
07, 2411, B215, Fenderica

07, 2711, C107, Clara
09, 2711, B212, Asia
07, 3011, C123, Chiara
08, 3011, C107, Miriam

07, 0512, C102, Lorella
09, 0512, B214, Anna
07, 0612, C128, Federica
11, 0612, C102, Graziana
07, 0712, C134, Marina
08, 0812, C123, Federica
07, 1212, C132, Lorella
07, 1312, B210, Federica
10, 1412, B235, Francesca 2
07, 1512, C101, Chiara
07, 2712, C124, Chiara